Harvest data
Species,Region,Period,Value
sw,south,0,1047.554625094284
hw,south,0,1032.1195616966825
sw,north,0,1790.2185003771356
hw,north,0,1728.4782467867299
sw,south,1,1180.4370007542711
hw,south,1,1056.9564935734595
sw,north,1,147.5546250942839
hw,north,1,132.1195616966824
sw,south,2,590.2185003771356
hw,south,2,528.4782467867296
sw,north,2,737.7731254714195
hw,north,2,660.5978084834121
sw,south,3,658.0751712638325
hw,south,3,579.8538624818314
sw,north,3,1698.9544715031734
hw,north,3,1495.6232204904707
sw,south,4,0.0
hw,south,4,0.0
sw,north,4,0.0
hw,north,4,0.0
sw,south,5,0.0
hw,south,5,0.0
sw,north,5,0.0
hw,north,5,0.0
sw,south,6,300.0
hw,south,6,300.0
sw,north,6,150.0
hw,north,6,150.0
sw,south,7,300.0
hw,south,7,300.0
sw,north,7,750.0
hw,north,7,750.0
sw,south,8,5695.53727259267
hw,south,8,5098.096067456345
sw,north,8,4867.112272376793
hw,north,8,4300.020271031908
Age data
Region,Period,Value
north,8,26.0
south,8,37.0
north,5,10.0
south,5,10.0
north,6,19.0
south,6,26.0
north,7,30.0
south,7,31.0
